Entity,Code,Year,Mean income or expenditure per day
Albania,ALB,1996,7.933156834567807
Albania,ALB,2002,8.108227985412178
Albania,ALB,2005,9.165973675060911
Albania,ALB,2008,10.038168285990896
Albania,ALB,2012,9.517230603726524
Albania,ALB,2014,10.141309648398275
Albania,ALB,2015,12.055372382517964
Albania,ALB,2016,12.541092354465023
Albania,ALB,2017,12.411218948203334
Albania,ALB,2018,13.316506107778826
Albania,ALB,2019,15.581382637045923
Algeria,DZA,1988,7.464024072562243
Algeria,DZA,1995,7.111213691730655
Algeria,DZA,2011,9.225503374228282
Angola,AGO,2000,7.374365426841039
Angola,AGO,2008,6.513751809548646
Angola,AGO,2018,5.482150726198142
Argentina - urban,,1980,32.47283363214869
Argentina - urban,,1986,35.167551762431934
Argentina - urban,,1987,32.14556881159724
Argentina - urban,,1991,22.81104021238504
Argentina - urban,,1992,23.00445864753348
Argentina - urban,,1993,23.05283861579658
Argentina - urban,,1994,22.77439812512207
Argentina - urban,,1995,21.63388689711729
Argentina - urban,,1996,21.192957128336744
Argentina - urban,,1997,22.20674194777844
Argentina - urban,,1998,21.5637937551473
Argentina - urban,,1999,20.5546854199162
Argentina - urban,,2000,20.10494267374053
Argentina - urban,,2001,18.51360410736107
Argentina - urban,,2002,13.004920748939508
Argentina - urban,,2003,18.40442953639838
Argentina - urban,,2004,19.8381538365751
Argentina - urban,,2005,21.82069831105517
Argentina - urban,,2006,24.166915526693074
Argentina - urban,,2007,24.92478479981154
Argentina - urban,,2008,25.51329964092185
Argentina - urban,,2009,26.400297432398716
Argentina - urban,,2010,27.206145522843613
Argentina - urban,,2011,28.93932174652086
Argentina - urban,,2012,28.67457637475568
Argentina - urban,,2013,28.7907892949517
Argentina - urban,,2014,26.947942230014583
Argentina - urban,,2016,28.14445059642748
Argentina - urban,,2017,29.55788365348206
Argentina - urban,,2018,26.796218897069288
Argentina - urban,,2019,26.095949008837703
Argentina - urban,,2020,22.84354708143823
Armenia,ARM,1996,6.768340694376414
Armenia,ARM,1999,5.100736093031294
Armenia,ARM,2001,4.846677313433741
Armenia,ARM,2002,5.084001243335804
Armenia,ARM,2003,5.225257117721712
Armenia,ARM,2004,6.478400022101923
Armenia,ARM,2005,7.138377746883846
Armenia,ARM,2006,6.890281746690537
Armenia,ARM,2007,7.675123710190498
Armenia,ARM,2008,7.844795081320976
Armenia,ARM,2009,6.972357532388735
Armenia,ARM,2010,7.118401440702037
Armenia,ARM,2011,7.266699730844926
Armenia,ARM,2012,7.527843457667805
Armenia,ARM,2013,7.810947099477343
Armenia,ARM,2014,8.011235235285863
Armenia,ARM,2015,8.588196247776535
Armenia,ARM,2016,9.041171659143032
Armenia,ARM,2017,8.79643570274468
Armenia,ARM,2018,8.794251525572044
Armenia,ARM,2019,7.877928988786104
Armenia,ARM,2020,7.4696150607038145
Australia,AUS,1981,38.33816504719713
Australia,AUS,1985,39.61470312175246
Australia,AUS,1989,40.71300793735792
Australia,AUS,1995,37.488868416916574
Australia,AUS,2001,43.1919198878675
Australia,AUS,2003,44.54256991933377
Australia,AUS,2004,48.47961591857322
Australia,AUS,2008,61.29653386474795
Australia,AUS,2010,61.07591581802195
Australia,AUS,2014,65.29173493065431
Australia,AUS,2016,63.78409433609232
Australia,AUS,2018,64.60964342099022
Austria,AUT,1987,48.44119493710311
Austria,AUT,1994,52.95657519980031
Austria,AUT,1995,45.14906942702444
Austria,AUT,1997,50.68832630133659
Austria,AUT,2000,53.75496625723844
Austria,AUT,2003,55.16432145820662
Austria,AUT,2004,58.215555210651935
Austria,AUT,2005,55.63883833122828
Austria,AUT,2006,56.96010875588757
Austria,AUT,2007,59.32458737886929
Austria,AUT,2008,60.316737887701215
Austria,AUT,2009,62.46101543814576
Austria,AUT,2010,63.09250231121733
Austria,AUT,2011,61.909379913489005
Austria,AUT,2012,60.494098245039744
Austria,AUT,2013,63.458008593743074
Austria,AUT,2014,62.47971936036536
Austria,AUT,2015,62.24562225903544
Austria,AUT,2016,65.06518473964739
Austria,AUT,2017,64.19477811315521
Austria,AUT,2018,64.86730604913835
Austria,AUT,2019,66.16818573537036
Azerbaijan,AZE,1995,5.290797921773004
Azerbaijan,AZE,2001,6.459353622893678
Azerbaijan,AZE,2002,8.152217324257457
Azerbaijan,AZE,2003,8.493119565589485
Azerbaijan,AZE,2004,8.74016173345974
Azerbaijan,AZE,2005,9.71876762188104
Bangladesh,BGD,1983,2.750591508796942
Bangladesh,BGD,1988,2.7881465053822057
Bangladesh,BGD,1991,2.725812341805471
Bangladesh,BGD,1995,3.3093133546698867
Bangladesh,BGD,2000,3.417417398813455
Bangladesh,BGD,2005,3.814517192210432
Bangladesh,BGD,2010,4.0828527745188055
Bangladesh,BGD,2016,4.474710141521842
Belarus,BLR,1993,6.160662311934021
Belarus,BLR,1995,9.197755941498896
Belarus,BLR,1998,3.9448279866481455
Belarus,BLR,1999,4.185409298134214
Belarus,BLR,2000,4.645981237445253
Belarus,BLR,2001,5.767390274527023
Belarus,BLR,2002,6.3353015359111815
Belarus,BLR,2003,6.536702398379727
Belarus,BLR,2004,7.341129818192693
Belarus,BLR,2005,9.028547762595917
Belarus,BLR,2006,10.439299116752064
Belarus,BLR,2007,11.997122273391746
Belarus,BLR,2008,12.46642988174838
Belarus,BLR,2009,12.590503662577213
Belarus,BLR,2010,14.20415162189162
Belarus,BLR,2011,14.55051195741019
Belarus,BLR,2012,16.294647002852436
Belarus,BLR,2013,18.165651513764526
Belarus,BLR,2014,18.91825027523821
Belarus,BLR,2015,16.94639836431485
Belarus,BLR,2016,16.28043140813494
Belarus,BLR,2017,16.718976418186326
Belarus,BLR,2018,18.151939549443465
Belarus,BLR,2019,19.13246088545132
Belarus,BLR,2020,19.26502566096232
Belgium,BEL,1985,34.18008528524909
Belgium,BEL,1988,35.94177922834593
Belgium,BEL,1992,38.67516369855289
Belgium,BEL,1995,46.34722740514754
Belgium,BEL,1997,45.57291152306197
Belgium,BEL,2000,54.6847791774121
Belgium,BEL,2003,49.018376044785576
Belgium,BEL,2004,52.89336934703129
Belgium,BEL,2005,52.83283590392235
Belgium,BEL,2006,51.93823275729586
Belgium,BEL,2007,53.44758061824619
Belgium,BEL,2008,54.16453926022699
Belgium,BEL,2009,54.72569830925915
Belgium,BEL,2010,54.3217586289564
Belgium,BEL,2011,52.99818384869134
Belgium,BEL,2012,54.504012388143806
Belgium,BEL,2013,54.39067114513158
Belgium,BEL,2014,55.043016178573815
Belgium,BEL,2015,55.69448485193865
Belgium,BEL,2016,55.09243093019037
Belgium,BEL,2017,55.70167275150931
Belgium,BEL,2018,57.007874228947934
Belgium,BEL,2019,58.98650647000115
Belize,BLZ,1993,10.529692213914744
Belize,BLZ,1994,10.236449157565437
Belize,BLZ,1995,12.99620365609248
Belize,BLZ,1996,8.193869814602335
Belize,BLZ,1997,8.47829959844019
Belize,BLZ,1998,7.960721527786778
Belize,BLZ,1999,8.289961432176481
Benin,BEN,2003,2.7582293922625647
Benin,BEN,2011,2.9957622513469766
Benin,BEN,2015,3.0038466474577445
Benin,BEN,2018,4.65196347049704
Bhutan,BTN,2003,5.986576418360671
Bhutan,BTN,2007,7.240447599649203
Bhutan,BTN,2012,9.905167149462716
Bhutan,BTN,2017,10.762673258957683
Bolivia,BOL,1997,13.518981154186504
Bolivia,BOL,1999,11.83626601025017
Bolivia,BOL,2000,11.052011689829015
Bolivia,BOL,2001,11.46339739780351
Bolivia,BOL,2002,11.457341044832177
Bolivia,BOL,2004,13.1819127346318
Bolivia,BOL,2005,14.023063406052318
Bolivia,BOL,2006,14.938175806659624
Bolivia,BOL,2007,14.881189841334766
Bolivia,BOL,2008,15.605116755668966
Bolivia,BOL,2009,16.496235424702515
Bolivia,BOL,2011,18.122355287854823
Bolivia,BOL,2012,18.546308523893
Bolivia,BOL,2013,20.446982880276124
Bolivia,BOL,2014,20.55850900004684
Bolivia,BOL,2015,19.816477104827715
Bolivia,BOL,2016,18.882017751009347
Bolivia,BOL,2017,19.07899825103446
Bolivia,BOL,2018,18.74685744151165
Bolivia,BOL,2019,19.60642729805217
Bolivia,BOL,2020,19.6432664771298
Bolivia - urban,,1990,11.045098522100153
Bolivia - urban,,1992,9.351042297626757
Bosnia and Herzegovina,BIH,2001,13.474113205448273
Bosnia and Herzegovina,BIH,2004,20.385946492317487
Bosnia and Herzegovina,BIH,2007,22.21468575208309
Bosnia and Herzegovina,BIH,2011,21.18461777541831
Botswana,BWA,1985,4.64305201302756
Botswana,BWA,1993,6.605810244228382
Botswana,BWA,2002,9.55829238907999
Botswana,BWA,2009,11.009727547524514
Botswana,BWA,2015,8.821087239545536
Brazil,BRA,1981,8.443970932128934
Brazil,BRA,1982,8.605181569265733
Brazil,BRA,1983,7.266532747849083
Brazil,BRA,1984,7.2208850120638575
Brazil,BRA,1985,7.61943830342328
Brazil,BRA,1986,13.626885397918482
Brazil,BRA,1987,10.699787252846304
Brazil,BRA,1988,10.548887160119603
Brazil,BRA,1989,12.247324153837097
Brazil,BRA,1990,9.604920452412586
Brazil,BRA,1992,7.647534646835815
Brazil,BRA,1993,9.620529213346815
Brazil,BRA,1995,12.896447355964174
Brazil,BRA,1996,12.966114746524728
Brazil,BRA,1997,12.816409255661664
Brazil,BRA,1998,13.207027448181272
Brazil,BRA,1999,12.385648556298047
Brazil,BRA,2001,13.874270385967698
Brazil,BRA,2002,14.087753845335016
Brazil,BRA,2003,13.399859435533092
Brazil,BRA,2004,13.467339866442348
Brazil,BRA,2005,14.147952150806727
Brazil,BRA,2006,15.197553435709455
Brazil,BRA,2007,15.71491283462174
Brazil,BRA,2008,16.558107228751005
Brazil,BRA,2009,17.066104093899472
Brazil,BRA,2011,18.37197081855881
Brazil,BRA,2012,19.707026371092983
Brazil,BRA,2013,20.54420964734135
Brazil,BRA,2014,20.97477651059617
Brazil,BRA,2015,20.34713218360739
Brazil,BRA,2016,20.34637367430565
Brazil,BRA,2017,20.32995768392848
Brazil,BRA,2018,21.023630597110312
Brazil,BRA,2019,21.11512896344161
Brazil,BRA,2020,21.03720774716041
Bulgaria,BGR,1989,25.27442127977576
Bulgaria,BGR,1992,21.488544520052788
Bulgaria,BGR,1994,14.590320991161098
Bulgaria,BGR,1995,13.510398951810243
Bulgaria,BGR,1997,7.594035329884577
Bulgaria,BGR,2001,10.7230458949907
Bulgaria,BGR,2003,10.043354084999375
Bulgaria,BGR,2006,11.189068027893375
Bulgaria,BGR,2007,13.376852149578884
Bulgaria,BGR,2008,17.41311532997392
Bulgaria,BGR,2009,18.170862593391107
Bulgaria,BGR,2010,17.400626193793546
Bulgaria,BGR,2011,16.1228343334109
Bulgaria,BGR,2012,16.949431750566987
Bulgaria,BGR,2013,18.926698174335066
Bulgaria,BGR,2014,20.17313025299022
Bulgaria,BGR,2015,19.2537927704163
Bulgaria,BGR,2016,23.008419632505078
Bulgaria,BGR,2017,22.89602843388781
Bulgaria,BGR,2018,26.54957878397168
Bulgaria,BGR,2019,27.42943194511317
Burkina Faso,BFA,1994,1.5955776777161388
Burkina Faso,BFA,1998,1.927792198081132
Burkina Faso,BFA,2003,2.807119048958975
Burkina Faso,BFA,2009,2.837405503787492
Burkina Faso,BFA,2014,3.2779928036013395
Burkina Faso,BFA,2018,4.980804248983147
Burundi,BDI,1992,1.8034868435069464
Burundi,BDI,1998,1.6540420352558152
Burundi,BDI,2006,2.009710669055889
Burundi,BDI,2013,2.2902755190872077
Cameroon,CMR,1996,3.3049664080119565
Cameroon,CMR,2001,4.6777473177522575
Cameroon,CMR,2007,4.419707363814308
