Entity,Code,Year,60% of median - share of population below poverty line
Albania,ALB,1996,14.8025142
Albania,ALB,2002,16.02055356
Albania,ALB,2005,16.67577033
Albania,ALB,2008,14.13715421
Albania,ALB,2012,14.84282292
Albania,ALB,2014,22.21602388
Albania,ALB,2015,18.76418998
Albania,ALB,2016,20.06597024
Albania,ALB,2017,19.17304681
Albania,ALB,2018,18.66027629
Albania,ALB,2019,16.57650596
Algeria,DZA,1988,20.97476711
Algeria,DZA,1995,21.6365332
Algeria,DZA,2011,13.21536621
Angola,AGO,2000,28.83104912
Angola,AGO,2008,24.76062915
Angola,AGO,2018,29.14511599
Argentina - urban,,1980,25.90813965
Argentina - urban,,1986,24.59991056
Argentina - urban,,1987,25.69625869
Argentina - urban,,1991,23.70645516
Argentina - urban,,1992,25.75061451
Argentina - urban,,1993,26.13367451
Argentina - urban,,1994,26.59362094
Argentina - urban,,1995,28.02906786
Argentina - urban,,1996,28.52715306
Argentina - urban,,1997,28.98664354
Argentina - urban,,1998,28.94319403
Argentina - urban,,1999,29.40494941
Argentina - urban,,2000,31.20260014
Argentina - urban,,2001,31.07726443
Argentina - urban,,2002,31.27049755
Argentina - urban,,2003,30.01920556
Argentina - urban,,2004,30.35851159
Argentina - urban,,2005,29.55122974
Argentina - urban,,2006,29.09093726
Argentina - urban,,2007,29.28424756
Argentina - urban,,2008,28.30595151
Argentina - urban,,2009,28.2129366
Argentina - urban,,2010,28.35128697
Argentina - urban,,2011,27.34748415
Argentina - urban,,2012,26.70304792
Argentina - urban,,2013,27.12826228
Argentina - urban,,2014,26.69873824
Argentina - urban,,2016,27.17548153
Argentina - urban,,2017,26.43664106
Argentina - urban,,2018,26.80652042
Argentina - urban,,2019,27.49509636
Argentina - urban,,2020,28.30217482
Armenia,ARM,1996,24.02863281
Armenia,ARM,1999,15.9973703
Armenia,ARM,2001,15.8594868
Armenia,ARM,2002,14.22980589
Armenia,ARM,2003,13.32154742
Armenia,ARM,2004,14.42051354
Armenia,ARM,2005,13.24608322
Armenia,ARM,2006,13.91430919
Armenia,ARM,2007,15.95141703
Armenia,ARM,2008,12.98248665
Armenia,ARM,2009,12.68796351
Armenia,ARM,2010,12.56591339
Armenia,ARM,2011,13.66713048
Armenia,ARM,2012,13.48056263
Armenia,ARM,2013,15.12747949
